price,price_for_m2,locality,street,usable_area,floor,elevator,state,state_of_real_estate,real_estate_type,type_of_ownership,balcony,basement,material,land,build_up_area
88000,13542,Nové Zámky časť Nábrežie,JUH,65,2/0,True,čiastočná rekonštrukcia,,2 izbový byt,predaj,True,True,panel,,
277000,30782,Rovinka,Jazerná,90,,False,novostavba,Novostavba,3 izbový byt,predaj,True,False,,,
228000,40712,Bratislava II Ružinov,Komárnická,56,,False,kompletná rekonštrukcia,,2 izbový byt,predaj,False,False,,,
405000,36292,Bratislava V Jarovce,Jantárová,111,,False,novostavba,Novostavba,4 izbový byt,predaj,False,False,,,
239800,31942,Bratislava II Ružinov,Exnárova,75,6/6,True,pôvodný,,3 izbový byt,predaj,False,True,,,
320000,36362,Bratislava I Staré Mesto,Povraznícka,88,,False,kompletná rekonštrukcia,,2 izbový byt,predaj,False,False,,,
,,Banská Bystrica,Donovaly,100,,True,novostavba,Novostavba,4 izbový byt,predaj,False,False,,,
129900,19702,Dunajská Streda,Júliusa Lörincza,65,,False,novostavba,Novostavba,3 izbový byt,predaj,False,False,,,
630000,42002,Bratislava IV Dúbravka,Jadranská,150,0/2,False,kompletná rekonštrukcia,,5 izbový byt a viac,predaj,False,False,tehla,,74
135900,32362,Bratislava IV Karlova Ves,Veternicová,42,1/9,False,čiastočná rekonštrukcia,,1 izbový byt,predaj,False,True,panel,,
249500,29702,Bratislava IV Karlova Ves časť Dlhé diely,Majerníkova,84,3/19,False,novostavba,Novostavba,2 izbový byt,predaj,True,True,zmiešaný,,
242000,32272,Bratislava V Petržalka časť Ovsište,Mamateyova,75,6/12,True,kompletná rekonštrukcia,,3 izbový byt,predaj,True,True,panel,,
229000,33192,Bratislava V Petržalka,Holíčska,69,2/8,False,čiastočná rekonštrukcia,,3 izbový byt,predaj,True,True,panel,,
555000,59352,Bratislava III Nové Mesto,Račianska,93,5/5,False,novostavba,Novostavba,3 izbový byt,predaj,True,True,zmiešaný,,
239900,45392,Bratislava II Ružinov,Klincová,52,2/10,False,novostavba,Novostavba,2 izbový byt,predaj,True,True,zmiešaný,,
185000,22452,Bratislava III Rača časť Rača,Dopravná,82,2/7,False,pôvodný,,3 izbový byt,predaj,True,True,panel,,
430000,43002,Bratislava I Staré Mesto,Šancová,100,6/6,False,čiastočná rekonštrukcia,,3 izbový byt,predaj,True,True,tehla,,
230000,41782,Bratislava V Petržalka,Údernícka,55,6/6,False,novostavba,Novostavba,2 izbový byt,predaj,True,True,tehla,,
229900,39642,Bratislava IV Karlova Ves,Staré Grunty,58,2/5,False,novostavba,Novostavba,2 izbový byt,predaj,True,True,tehla,,
355000,42262,Bratislava I Staré Mesto,Záhradnícka,84,3/7,False,pôvodný,,3 izbový byt,predaj,True,False,tehla,,
230000,56572,Bratislava I Staré Mesto,Suché Mýto,40,3/7,False,novostavba,Novostavba,1 izbový byt,predaj,False,True,zmiešaný,,
399900,43002,Bratislava I Staré Mesto,Zámocká,93,3/5,False,čiastočná rekonštrukcia,,3 izbový byt,predaj,True,False,železobetón,,
265000,43222,Bratislava III Nové Mesto,Bajkalská,61,5/23,False,novostavba,Novostavba,2 izbový byt,predaj,True,True,zmiešaný,,
436000,36332,Bratislava II Ružinov,Martinčekova,120,8/13,False,novostavba,Novostavba,3 izbový byt,predaj,True,False,železobetón,,
249500,40392,Bratislava III Nové Mesto,Bajkalská,61,6/23,False,novostavba,Novostavba,2 izbový byt,predaj,True,False,zmiešaný,,
799900,34482,Bratislava IV Karlova Ves,Albína Brunovského,232,1/5,False,novostavba,Novostavba,4 izbový byt,predaj,True,True,železobetón,,
649000,44602,Bratislava II Ružinov,Ružová dolina,145,5/22,False,pôvodný,,4 izbový byt,predaj,True,False,zmiešaný,,
99000,20202,Holíč,SNP,49,,False,kompletná rekonštrukcia,,2 izbový byt,predaj,True,True,,,
239000,33852,Bratislava I Staré Mesto,Grösslingová,70,1/5,False,pôvodný,,2 izbový byt,predaj,False,True,tehla,,
320000,33012,Bratislava III Nové Mesto,Ladzianskeho,96,7/12,False,pôvodný,,4 izbový byt,predaj,True,True,tehla,,
263000,41092,Bratislava II Ružinov,Ružová dolina,64,10/10,False,pôvodný,,3 izbový byt,predaj,True,False,tehla,,
249601,48442,Bratislava III Nové Mesto,Skalická cesta,51,1/5,False,vo výstavbe,,2 izbový byt,predaj,False,True,zmiešaný,,
319900,49982,Bratislava I Staré Mesto,Podjavorinskej,64,3/4,False,novostavba,Novostavba,2 izbový byt,predaj,True,True,železobetón,,
309900,40182,Bratislava V Petržalka,Šustekova,77,6/8,False,novostavba,Novostavba,3 izbový byt,predaj,True,True,zmiešaný,,
349900,29652,Bratislava I Staré Mesto,Matúšova,118,1/3,False,pôvodný,,4 izbový byt,predaj,True,True,tehla,,
449000,30342,Bratislava I Staré Mesto,Železničiarska,148,0/4,False,kompletná rekonštrukcia,,5 izbový byt a viac,predaj,False,True,tehla,,
412500,45142,Bratislava II Ružinov,Bajkalská,91,5/5,False,novostavba,Novostavba,4 izbový byt,predaj,False,True,,,
251700,46722,Bratislava III Nové Mesto,Skalická cesta,53,1/5,False,vo výstavbe,,2 izbový byt,predaj,False,True,zmiešaný,,
264774,49152,Bratislava III Nové Mesto,Skalická cesta,53,4/5,False,vo výstavbe,,2 izbový byt,predaj,False,True,zmiešaný,,
243013,52082,Bratislava III Nové Mesto,Skalická cesta,46,3/4,False,vo výstavbe,,2 izbový byt,predaj,False,True,zmiešaný,,
415950,46892,Bratislava II Ružinov,Bajkalská,88,5/5,False,novostavba,Novostavba,4 izbový byt,predaj,False,True,,,
160000,22862,Banská Štiavnica,,70,,False,čiastočná rekonštrukcia,,3 izbový byt,predaj,False,False,,,
159900,30752,Bratislava IV Devínska Nová Ves,Milana Marečka,52,2/8,True,pôvodný,,2 izbový byt,predaj,True,True,panel,,
750000,54352,Bratislava I Staré Mesto,Cintorínska,138,4/5,False,novostavba,Novostavba,4 izbový byt,predaj,True,False,,,
131990,29332,Trenčín,Bazovského,45,2/0,True,kompletná rekonštrukcia,,2 izbový byt,predaj,True,False,,,
934800,29492,Bratislava III Nové Mesto,Svätovavrinecká,317,4/4,True,novostavba,Novostavba,4 izbový byt,predaj,False,False,,,
215000,57752,Bešeňová,Bešeňová,37,,False,novostavba,Novostavba,Apartmán,predaj,False,False,,,
168990,29142,Bratislava II Vrakuňa,Ihličnatá,58,0/2,False,kompletná rekonštrukcia,,2 izbový byt,predaj,False,False,tehla,,
240000,38412,Bratislava II Ružinov,Košická,62,,False,čiastočná rekonštrukcia,,2 izbový byt,predaj,False,False,,,
129000,18432,Banská Štiavnica,Drieňová,70,,False,pôvodný,,3 izbový byt,predaj,True,True,,,
175000,34312,Banská Štiavnica,Dolná,51,,False,kompletná rekonštrukcia,,2 izbový byt,predaj,False,False,,,
139000,19862,Banská Štiavnica,Drieňová,70,,False,pôvodný,,3 izbový byt,predaj,True,False,,,
355000,41282,Bratislava I Staré Mesto,Medená,86,,False,pôvodný,,4 izbový byt,predaj,False,False,,,
245000,31012,Bratislava IV Karlova Ves časť Dlhé diely,Majerníkova,79,1/7,True,kompletná rekonštrukcia,,3 izbový byt,predaj,True,True,panel,,
244835,23002,Piešťany,,106,2/2,False,novostavba,Novostavba,4 izbový byt,predaj,False,False,kvádrová,,
155000,48442,Bratislava III Rača časť Rača,Novohorská,32,,False,čiastočná rekonštrukcia,,1 izbový byt,predaj,True,False,,,
138000,30002,Banská Štiavnica,Štiavnické Bane 4,46,,False,kompletná rekonštrukcia,,Apartmán,predaj,False,False,,,
235000,32642,Bratislava II Ružinov,Nezábudková,72,1/0,False,kompletná rekonštrukcia,,3 izbový byt,predaj,False,True,,,
229000,26022,Senec,Dlhá,88,2/2,False,novostavba,Novostavba,3 izbový byt,predaj,True,False,tehla,,
,,Chtelnica,Kúria,,,False,vo výstavbe,,2 izbový byt,predaj,True,False,,,
249900,46282,Bratislava II Ružinov časť Trávniky,Rumančeková,54,2/9,True,kompletná rekonštrukcia,,2 izbový byt,predaj,True,True,panel,,
87900,14412,Nové Zámky,Komárňanská,61,,False,čiastočná rekonštrukcia,,2 izbový byt,predaj,False,False,,,
263092,44592,Bratislava II Ružinov,Trnavská cesta,59,5/8,True,vo výstavbe,Novostavba,2 izbový byt,predaj,True,True,,,
149000,35482,Košice II Západ - Terasa časť Luník VI,,42,,False,kompletná rekonštrukcia,,2 izbový byt,predaj,False,False,,,
