price,price_for_m2,locality,street,usable_area,floor,elevator,state,state_of_real_estate,real_estate_type,type_of_ownership,balcony,basement,material,land,build_up_area
70000,583332,Hul,Hul,120,,False,,,Rodinný dom,predaj,False,False,,1100,
349000,23272,Smolenice,Komenského,150,,False,,,Rodinný dom,predaj,False,False,,819,184
325000,26942,Kostolište,Alej Martina Benku,120,,False,,Novostavba,Rodinný dom,predaj,False,False,,500,
450000,17312,Jakubov,Sväteho Jakuba,260,,False,,,Rodinný dom,predaj,False,False,,2546,119
,,Modra,,77,,False,,,"Chalupa, rekreačný domček",predaj,False,False,,,
233000,24212,Hrubá Borša,Záhradnícka,96,,False,,Novostavba,Rodinný dom,predaj,False,False,,549,
250000,961542,Lakšárska Nová Ves časť Mikulášov,Mikulášov,260,,False,,,Rodinný dom,predaj,False,False,,662,191
,,Bratislava II Ružinov časť Nivy,Zvolenská,448,,False,,,Iný objekt na bývanie a rekreáciu,predaj,False,False,,248,112
285000,24572,Miloslavov,,116,,False,,,Rodinný dom,predaj,False,False,,305,138
229900,10952,Leopoldov,,210,,False,,,Rodinný dom,predaj,False,False,,920,
154900,20932,Banka,,74,,False,,,Rodinný dom,predaj,False,False,,550,81
299990,12602,Žilina,Dedinská,238,,False,,,Rodinný dom,predaj,False,False,,493,
209990,17502,Žilina časť Považský Chlmec,Bytčianska,120,,False,,,Rodinný dom,predaj,False,False,,640,124
269970,15882,Bitarová,,170,,False,,Novostavba,Rodinný dom,predaj,False,False,,781,175
95000,791672,Krajné,,120,,False,,,"Chalupa, rekreačný domček",predaj,False,False,,,
184000,471792,Hlohovec,,390,,False,,,Rodinný dom,predaj,False,False,,,
140000,903232,Kočovce,,155,,False,,,Rodinný dom,predaj,False,False,,,
99900,33302,Dolné Lovčice,,3000,,False,,,"Chata, drevenica, zrub",predaj,False,False,,,
325000,23382,Žilina,Bytčica na Kľúč,139,,False,,Novostavba,Rodinný dom,predaj,False,False,,468,113
449900,16982,Žilina,Považský Chlmec,265,,False,,,Rodinný dom,predaj,False,False,,997,416
660000,27972,Rajecké Teplice,2041m2,236,,False,,,Rodinný dom,predaj,False,False,,2041,295
39900,498752,Šumiac časť Červená Skala,Červená Skala,80,,False,,,"Chata, drevenica, zrub",predaj,False,False,,818,130
219999,582012,Dunajská Streda,Záhradnícka,378,,False,,,Rodinný dom,predaj,False,False,,538,364
528000,33322,Chorvátsky Grob,Monarská alej,158,,False,,Novostavba,Rodinný dom,predaj,False,False,,711,214
210000,13132,Skalka nad Váhom časť Újazd,,160,,False,,Novostavba,Rodinný dom,predaj,False,False,,338,
320000,19882,Trenčín,Ľ. Stárka,161,,False,,Novostavba,Rodinný dom,predaj,False,False,,320,
,,Senica časť Sotina,Teplická,69,,False,,Novostavba,Rodinný dom,predaj,False,False,,414,82
180000,,Valča,Valča,,,False,,Novostavba,Rodinný dom,predaj,False,False,,800,130
289000,20072,Miloslavov,Perličková,144,,False,,Novostavba,Rodinný dom,predaj,False,False,,346,90
384000,,Marianka,Podhájska,,,False,,Novostavba,Rodinný dom,predaj,False,False,,185,147
399500,13322,Oščadnica,oščadnica,300,,False,,Novostavba,Rodinný dom,predaj,False,False,,802,163
210000,295362,Šamorín,,711,,False,,,Rodinný dom,predaj,False,False,,,
113300,20982,Brunovce,Brunovce,54,,False,,,Rodinný dom,predaj,False,False,,2080,70
175100,729582,Ilava,Ilava,240,,False,,,Rodinný dom,predaj,False,False,,603,200
459990,41232,Bratislava III Nové Mesto časť Pasienky / Kuchajda,Pluhová,111,,False,,Novostavba,Rodinný dom,predaj,False,False,,183,52
135000,12272,Lietava,Lietava,110,,False,,,Rodinný dom,predaj,False,False,,595,110
318000,32452,Nickelsdorf,,98,,False,,Novostavba,Rodinný dom,predaj,False,False,,446,134
385000,14562,Dunajská Streda,Blažov,264,,False,,,Rodinný dom,predaj,False,False,,2400,295
,,Vrbové,Čerenec,60,,False,,,"Chata, drevenica, zrub",predaj,False,False,,436,70
330000,21292,Jablonové,Jablonové,155,,False,,Novostavba,Rodinný dom,predaj,False,False,,700,
,,Trenčín časť Opatová,Opatovské chaty - rekreačná oblasť,,,False,,,"Chata, drevenica, zrub",predaj,False,False,,1613,
59000,338112,Kittsee,Schlossgärtnerei,174,,False,,Novostavba,Rodinný dom,predaj,False,False,,208,185
198000,12382,Veľké Leváre,Slnečná,160,,False,,,Rodinná vila,predaj,False,False,,1027,
279900,23182,Kostolište,Alej martina Benku,120,,False,,Novostavba,Rodinný dom,predaj,False,False,,471,178
579000,40492,Horná Lehota,Tále,143,,False,,Novostavba,Rodinný dom,predaj,False,False,,1101,86
,,Smižany,Máša,168,,False,,,Rodinný dom,predaj,False,False,,387,42
299900,24992,Stupava,Krátka,120,,False,,,Rodinný dom,predaj,False,False,,160,100
,,Vysoké Tatry,nezadaná,171,,False,,Novostavba,Rodinný dom,predaj,False,False,,360,111
239900,21612,Šúrovce,.,111,,False,,Novostavba,Rodinný dom,predaj,False,False,,553,
114900,760932,Žemberovce,V.Naďa,151,,False,,,Rodinný dom,predaj,False,False,,1476,570
460000,25562,Bratislava II Ružinov,Mokráň Záhon,180,,False,,Novostavba,Rodinný dom,predaj,False,False,,318,89
370000,30332,Bratislava II Vrakuňa časť Dolné hony,Hradská,122,,False,,Novostavba,Rodinný dom,predaj,False,False,,292,88
235900,33732,Miloslavov,Mesačná,69,,False,,Novostavba,Rodinný dom,predaj,False,False,,325,86
449990,22502,Kostolište,Martina Benku,200,,False,,Novostavba,Rodinný dom,predaj,False,False,,550,150
,,Poprad,Horný Slavkov,142,,False,,,"Chata, drevenica, zrub",predaj,False,False,,,
395000,24382,Vysoké Tatry časť Tatranská Kotlina,Tatranská Kotlina,162,,False,,,"Chata, drevenica, zrub",predaj,False,False,,725,
249900,32452,Hrubá Borša,Jánovecká,77,,False,,Novostavba,Rodinný dom,predaj,False,False,,400,
379900,35842,Hrubá Borša,Agátová,106,,False,,Novostavba,Rodinný dom,predaj,False,False,,719,131
179900,17642,Ratkovce,.,102,,False,,Novostavba,Rodinný dom,predaj,False,False,,486,120
150000,19232,Čachtice,Múkovská,78,,False,,Novostavba,Rodinný dom,predaj,False,False,,218,
160000,20002,Banka,Topoľčianska,80,,False,,Novostavba,Rodinný dom,predaj,False,False,,230,41
600000,15002,Piešťany,Floreát,400,,False,,Novostavba,Rodinný dom,predaj,False,False,,630,200
238900,34162,Miloslavov,Mesačná,69,,False,,Novostavba,Rodinný dom,predaj,False,False,,341,86
